"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true","mean_age_low_risk_true","mean_age_high_risk_true"
0.687478791991856,0.721356694314574,1068,223,28,28,9,8,19,20,41.9202832822525,43.5635025489192
0.69734578520521,0.731919542732808,1054,237,39,65,15,18,24,47,41.9202832822525,43.5635025489192
0.648009756097561,0.681286617754721,1086,205,41,28,13,4,28,24,41.9202832822525,43.5635025489192
0.719591581951133,0.76244439308482,1054,237,45,29,19,9,26,20,41.9202832822525,43.5635025489192
0.719420174741859,0.752546395646527,1073,218,32,45,13,10,19,35,41.9202832822525,43.5635025489192
0.810037273695421,0.850965441483739,1065,226,39,37,27,17,12,20,41.9202832822525,43.5635025489192
0.745773791425965,0.808764083322426,1059,232,26,59,12,17,14,42,41.9202832822525,43.5635025489192
0.769617568584525,0.803462636885289,1059,232,47,44,27,18,20,26,41.9202832822525,43.5635025489192
0.775759392486011,0.806212532393364,1069,222,40,25,22,9,18,16,41.9202832822525,43.5635025489192
0.70216951745997,0.755325127116547,1087,204,29,42,10,10,19,32,41.9202832822525,43.5635025489192
0.772771782573941,0.82361181315104,1093,198,40,59,22,19,18,40,41.9202832822525,43.5635025489192
0.807872503840246,0.843983720796076,1046,245,31,55,20,19,11,36,41.9202832822525,43.5635025489192
0.710935859201075,0.742632936674205,1059,232,38,65,15,20,23,45,41.9202832822525,43.5635025489192
0.718687946783161,0.748778701903261,1084,207,32,21,12,4,20,17,41.9202832822525,43.5635025489192
0.738237916889602,0.7844393940456,1045,246,45,37,24,10,21,27,41.9202832822525,43.5635025489192
0.712258999453942,0.761191844142712,1065,226,38,67,15,16,23,51,41.9202832822525,43.5635025489192
0.752435449803871,0.805156293074477,1068,223,37,46,19,13,18,33,41.9202832822525,43.5635025489192
0.750893052416709,0.786799241083579,1032,259,44,15,23,5,21,10,41.9202832822525,43.5635025489192
0.766368457951047,0.801536082922564,1069,222,53,73,25,23,28,50,41.9202832822525,43.5635025489192
0.763874837404249,0.808686434293493,1070,221,33,68,18,18,15,50,41.9202832822525,43.5635025489192
0.735646303674192,0.764230352617694,1060,231,36,23,18,12,18,11,41.9202832822525,43.5635025489192
0.739277204130262,0.770202088112544,1049,242,32,118,14,23,18,95,41.9202832822525,43.5635025489192
0.733545766249255,0.779004487836219,1065,226,43,88,18,22,25,66,41.9202832822525,43.5635025489192
0.651363044482715,0.688627903180245,1080,211,38,52,14,13,24,39,41.9202832822525,43.5635025489192
0.7373763593639,0.783403720459531,1035,256,29,45,15,13,14,32,41.9202832822525,43.5635025489192
0.739200884517138,0.78757528107595,1064,227,42,43,21,13,21,30,41.9202832822525,43.5635025489192
0.780106691309279,0.819394150942115,1059,232,38,35,21,12,17,23,41.9202832822525,43.5635025489192
0.766215077916608,0.804064086235484,1070,221,34,38,20,13,14,25,41.9202832822525,43.5635025489192
0.706923875621619,0.76046582529763,1033,258,29,59,12,18,17,41,41.9202832822525,43.5635025489192
0.693040146402836,0.720223452991689,1063,228,42,28,13,3,29,25,41.9202832822525,43.5635025489192
0.727486751305807,0.774961294737553,1059,232,42,64,17,16,25,48,41.9202832822525,43.5635025489192
0.791066818903892,0.835612772559621,1073,218,32,20,18,5,14,15,41.9202832822525,43.5635025489192
0.772772657450077,0.784812110478814,1070,221,31,37,16,11,15,26,41.9202832822525,43.5635025489192
0.775358422939068,0.795230639477152,1066,225,31,32,16,6,15,26,41.9202832822525,43.5635025489192
0.75646579593948,0.794352489808191,1072,219,37,126,16,28,21,98,41.9202832822525,43.5635025489192
0.725589528377298,0.773810839028881,1061,230,40,32,18,10,22,22,41.9202832822525,43.5635025489192
0.785292164674635,0.815892712258852,1052,239,36,43,19,14,17,29,41.9202832822525,43.5635025489192
0.800729874259286,0.825977679483572,1073,218,33,65,20,16,13,49,41.9202832822525,43.5635025489192
0.750365205843293,0.802465019962188,1071,220,36,23,18,8,18,15,41.9202832822525,43.5635025489192
0.740050907481186,0.801825783918267,1058,233,36,85,20,28,16,57,41.9202832822525,43.5635025489192
0.771958925750395,0.804870509534247,1058,233,25,27,11,9,14,18,41.9202832822525,43.5635025489192
0.770294160530728,0.808116216561378,1076,215,44,57,24,15,20,42,41.9202832822525,43.5635025489192
0.724429539986878,0.770660251274688,1050,241,44,44,20,15,24,29,41.9202832822525,43.5635025489192
0.702636968766001,0.76141298189142,1081,210,31,44,14,12,17,32,41.9202832822525,43.5635025489192
0.75156764139815,0.814996451035521,1063,228,52,101,26,32,26,69,41.9202832822525,43.5635025489192
0.725285534728674,0.76815787147418,1095,196,29,39,11,9,18,30,41.9202832822525,43.5635025489192
0.681075697211155,0.726670173749222,1082,209,36,52,14,12,22,40,41.9202832822525,43.5635025489192
0.721135211687537,0.750499489585074,1060,231,43,53,16,16,27,37,41.9202832822525,43.5635025489192
0.753628653794583,0.79553085537448,1052,239,48,48,27,20,21,28,41.9202832822525,43.5635025489192
0.69781735638205,0.737108607518527,1060,231,46,45,21,15,25,30,41.9202832822525,43.5635025489192
0.608086555454976,0.644156253574024,1077,214,37,33,12,6,25,27,41.9202832822525,43.5635025489192
0.735333419543946,0.805366882532797,1066,225,37,108,20,31,17,77,41.9202832822525,43.5635025489192
0.745928062436376,0.764347285417464,1061,230,28,32,12,14,16,18,41.9202832822525,43.5635025489192
0.759053658536585,0.804817848379318,1069,222,41,62,23,14,18,48,41.9202832822525,43.5635025489192
0.770173304955914,0.843194223459867,1073,218,26,22,15,5,11,17,41.9202832822525,43.5635025489192
0.713619512195122,0.769411326184568,1065,226,41,48,18,12,23,36,41.9202832822525,43.5635025489192
0.781206340029869,0.825661125447495,1074,217,33,51,19,13,14,38,41.9202832822525,43.5635025489192
0.750939442115913,0.800238183200184,1074,217,33,67,13,18,20,49,41.9202832822525,43.5635025489192
0.779591792749688,0.842354527609729,1052,239,37,127,20,33,17,94,41.9202832822525,43.5635025489192
0.755324813631523,0.797972935066108,1058,233,39,67,20,18,19,49,41.9202832822525,43.5635025489192
0.709586716992642,0.749065148207256,1058,233,42,46,19,15,23,31,41.9202832822525,43.5635025489192
0.74713788741303,0.814357785749265,1056,235,51,102,27,30,24,72,41.9202832822525,43.5635025489192
0.785785953177258,0.811542289318046,1063,228,26,34,12,6,14,28,41.9202832822525,43.5635025489192
0.684993359893758,0.743397530453805,1074,217,36,34,14,10,22,24,41.9202832822525,43.5635025489192
0.799247812405707,0.842990234619175,1050,241,37,69,22,18,15,51,41.9202832822525,43.5635025489192
0.804216467463479,0.855951368051749,1076,215,36,58,22,12,14,46,41.9202832822525,43.5635025489192
0.712316907669989,0.779880273695354,1093,198,34,116,15,30,19,86,41.9202832822525,43.5635025489192
0.687788266735635,0.729927169275121,1046,245,37,60,18,18,19,42,41.9202832822525,43.5635025489192
