"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.679036618333743,0.726237419465301,1079,212,39,63,14,12,25,51
0.801381840625429,0.827793560702899,1070,221,23,53,12,9,11,44
0.758089620709429,0.798156815878893,1066,225,39,39,18,16,21,23
0.775654219347251,0.810902160453432,1080,211,38,64,21,19,17,45
0.73169756097561,0.782925310794226,1044,247,41,64,22,17,19,47
0.749179559306142,0.797097225848082,1074,217,27,51,13,13,14,38
0.740598911747168,0.794517705538913,1062,229,43,52,23,21,20,31
0.723572938689218,0.776525703542437,1066,225,44,64,18,12,26,52
0.772763091912028,0.809026336218667,1067,224,22,54,10,12,12,42
0.741416866506795,0.775526252705704,1068,223,40,51,17,14,23,37
0.803429663544336,0.838390890886156,1075,216,38,67,22,26,16,41
0.666584772333755,0.731454729758449,1067,224,34,65,13,15,21,50
0.755493630573248,0.797784743062011,1071,220,35,54,17,13,18,41
0.76147237642083,0.78777538114359,1071,220,30,56,11,13,19,43
0.763612217795485,0.802923241852514,1026,265,36,45,20,15,16,30
0.726592651334919,0.819890183774102,1076,215,30,56,15,14,15,42
0.736378089319266,0.787404600480355,1070,221,33,54,15,15,18,39
0.699448252079831,0.713627516428091,1061,230,37,57,12,15,25,42
0.756451216515114,0.813599752791203,1085,206,39,64,20,18,19,46
0.80231694828469,0.843421189073885,1054,237,31,56,21,16,10,40
0.735541463414634,0.78823666118549,1059,232,41,54,24,23,17,31
0.77661575918548,0.824899052104294,1078,213,36,73,18,24,18,49
0.663944598888006,0.705289044231779,1075,216,32,51,9,10,23,41
0.769486769886131,0.813141840542901,1077,214,39,57,22,18,17,39
0.754383247065685,0.787573212538666,1053,238,44,76,20,21,24,55
0.753952650118784,0.834166324708692,1080,211,39,67,22,19,17,48
0.751967320618613,0.785961820275425,1088,203,29,49,10,9,19,40
0.658225195013487,0.707666247072444,1063,228,44,40,15,10,29,30
0.757329776956358,0.795150628240587,1064,227,38,52,18,11,20,41
0.760002978554408,0.817238024094684,1091,200,32,41,16,8,16,33
0.740346380097933,0.784582072222185,1079,212,49,59,22,20,27,39
0.737173528109783,0.759563176503257,1083,208,36,55,16,12,20,43
0.724625215040551,0.786495997047537,1064,227,39,62,21,24,18,38
0.770929851654265,0.822612711734598,1027,264,34,59,20,17,14,42
0.744176921705012,0.778246382817664,1097,194,45,56,19,12,26,44
0.787435299263687,0.832475246809366,1065,226,44,57,28,18,16,39
0.745641838351823,0.803860527930122,1086,205,29,62,15,18,14,44
0.760714818127609,0.80508879591619,1057,234,43,59,24,28,19,31
0.794244767970883,0.810068037971675,1080,211,35,57,20,20,15,37
0.754282868525897,0.795048701407114,1043,248,36,54,17,19,19,35
0.76850376272687,0.794582492761566,1042,249,36,58,19,24,17,34
0.727358113509193,0.774808059812188,1050,241,40,58,19,16,21,42
0.726897409795272,0.769779055524071,1059,232,28,45,9,7,19,38
0.706832762265801,0.75451299154712,1066,225,44,53,17,17,27,36
0.741539952295766,0.785211808503026,1072,219,43,60,16,14,27,46
0.724745853397539,0.762596574257818,1066,225,45,75,23,21,22,54
