"ROC_observed_outcome","ROC_observed_corrected","sum_low_risk","sum_high_risk","sum_outcome_observed","sum_outcome_true","sum_high_risk_observed","sum_high_risk_true","sum_low_risk_observed","sum_low_risk_true"
0.726015457638509,0.748565155780769,1069,222,38,121,15,29,23,92
0.744665781319168,0.765428462851852,1065,226,36,25,16,11,20,14
0.78134193062872,0.804709515073611,1054,237,47,35,28,15,19,20
0.775369978858351,0.828395912117108,1077,214,44,55,23,20,21,35
0.778992265696087,0.776238920573481,1055,236,35,21,21,12,14,9
0.771513944223108,0.817232762239536,1061,230,36,48,22,14,14,34
0.747411970547496,0.797200851728417,1049,242,44,69,25,27,19,42
0.765178152836381,0.800983111298766,1093,198,27,99,12,25,15,74
0.737859712230216,0.734949398888434,1068,223,40,15,20,8,20,7
0.736376715360779,0.781850091432136,1053,238,36,54,20,15,16,39
0.662721951219512,0.707902135816657,1076,215,41,77,16,21,25,56
0.644426751592357,0.691018899330778,1060,231,35,50,10,10,25,40
0.714129188170722,0.763533687865714,1059,232,39,57,18,21,21,36
0.728673794358508,0.762690222958544,1076,215,35,34,15,10,20,24
0.773685615158794,0.818307232607975,1058,233,42,71,23,25,19,46
0.70062259359384,0.740915240645968,1044,247,39,65,17,19,22,46
0.748232120726107,0.786910328681573,1050,241,44,41,23,14,21,27
0.741821602478973,0.786972160857255,1089,202,36,45,17,15,19,30
0.738694267515924,0.789443552330512,1054,237,35,109,17,26,18,83
0.740306530939037,0.791194839512169,1074,217,42,45,21,10,21,35
0.758397193945633,0.79846467651286,1092,199,42,46,18,10,24,36
0.718649220195612,0.765310288725653,1076,215,30,54,13,18,17,36
0.753757768463651,0.783250301829775,1053,238,33,36,15,8,18,28
0.761960975609756,0.80586571571157,1060,231,41,92,23,30,18,62
0.697637967485602,0.757293186196414,1077,214,44,71,16,18,28,53
0.757987711213518,0.796758359746496,1053,238,31,61,18,16,13,45
0.79639175257732,0.818659524553955,1046,245,30,25,17,8,13,17
0.687807665260197,0.73052604486883,1047,244,27,89,10,18,17,71
0.669200954084675,0.715279510783062,1073,218,43,70,12,17,31,53
0.829040164452878,0.85841600461985,1058,233,51,76,34,29,17,47
0.71637823775591,0.754712487501443,1090,201,28,111,12,20,16,91
0.72558378960176,0.772672619992687,1074,217,34,114,16,22,18,92
0.795455830788372,0.836360905818408,1075,216,28,75,17,20,11,55
0.730898475238375,0.780779864154863,1085,206,38,25,19,9,19,16
0.760953561274331,0.80242018073281,1045,246,44,47,24,15,20,32
0.715381829272942,0.762032743254732,1072,219,42,46,17,13,25,33
0.774429785330948,0.799173667595846,1062,229,43,24,21,10,22,14
0.836731707317073,0.860404256697096,1072,219,41,34,25,10,16,24
0.71790775784386,0.780693625647588,1066,225,39,66,18,20,21,46
0.793997205761912,0.831370531855368,1076,215,33,78,15,11,18,67
0.67684816290394,0.738158562896588,1066,225,36,65,11,16,25,49
0.745656274821287,0.797986299089908,1048,243,32,40,18,15,14,25
0.735161632220456,0.800531077870709,1070,221,33,43,15,11,18,32
0.727064383805957,0.766596087552654,1085,206,45,65,20,14,25,51
0.680471140997457,0.726574870021273,1042,249,37,56,16,16,21,40
0.772599781572677,0.778071125060818,1071,220,32,19,14,9,18,10
0.657366957903098,0.721406201473837,1080,211,32,94,10,24,22,70
0.708760353783518,0.758004904730761,1055,236,34,50,18,16,16,34
0.72367106314948,0.727087563760836,1052,239,40,13,19,4,21,9
0.70939512195122,0.762994285285323,1087,204,41,95,20,20,21,75
